餐飲業營業額及年增率,,
單位：億元；%,,
,,　　　
年月,餐飲業銷售額,年增率
108年1月,704,10.24
108年2月,703,-0.22
108年3月,657,8.22
108年4月,621,1.99
108年5月,677,4.85
108年6月,686,5.05
108年7月,694,4.5
108年8月,722,5.71
108年9月,645,0.86
108年10月,646,4.29
108年11月,638,5.88
108年12月,723,2.05
109年1月,828,17.66
109年2月,581,-17.44
109年3月,521,-20.7
109年4月,479,-22.77
109年5月,621,-8.25
109年6月,638,-6.99
109年7月,695,0.17
109年8月,736,2
109年9月,645,0.1
109年10月,666,3.11
109年11月,646,1.18
109年12月,718,-0.63
110年1月,701,-15.3
110年2月,718,23.64
110年3月,652,25.28
110年4月,658,37.3
110年5月,502,-19.21
110年6月,383,-39.94
110年7月,425,-38.83
110年8月,548,-25.65
110年9月,576,-10.77
110年10月,676,1.41
110年11月,671,3.87
110年12月,770,7.15
111年1月,759,8.16
111年2月,719,0.08
111年3月,698,6.96
111年4月,620,-5.77
111年5月,576,14.71
111年6月,619,61.67
111年7月,758,78.29
111年8月,786,43.6
111年9月,721,25.22
111年10月,769,13.81
111年11月,752,12.15
111年12月,876,13.79
112年1月,"1,005",32.46
112年2月,777,8.16
112年3月,771,10.48
112年4月,815,31.44
112年5月,836,45.21
112年6月,834,34.7
112年7月,900,18.65
112年8月,898,14.26
112年9月,832,15.42
112年10月,855,11.11
112年11月,814,8.22
112年12月,941,7.48
113年1月,911,-9.33
